Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
1,0,1,100000,Bolan,380000,1,1,2006
1,0,2,12345,Bolan,340000,1,1,1998
1,0,1,94000,Alto,535000,1,1,2010
2,0,1,100000,Corolla XLI,1430000,1,1,2013
2,0,1,80000,Corrolla Altis,1620000,1,1,2012
1,1,2,65000,Cultus VXL,450000,1,1,2006
2,1,1,10241,Corrolla Altis,2900000,1,1,2017
1,0,2,83000,Alto,490000,1,1,2009
1,0,2,73000,Liana,535000,1,1,2006
2,0,1,78000,Passo,770000,1,1,2006
3,0,2,170000,Civic EXi,160000,1,1,1984
1,0,1,200000,Alto,425000,1,1,2005
4,0,1,100000,Charade,180000,1,1,1988
6,0,1,82000,Pajero Mini,520000,1,1,1995
1,0,2,10000,Margalla,400000,1,1,1990
3,0,1,69500,City IVTEC,1400000,1,1,2014
1,0,2,10000,Khyber,175000,1,1,1989
5,0,2,123456,Classic,120000,1,1,2001
3,0,2,87611,Civic EXi,590000,1,1,2000
3,0,4,19000,Other,425000,1,1,1995
3,0,2,99000,Civic EXi,685000,1,1,2005
1,0,2,88000,Alto,465000,1,1,2007
2,0,1,75000,Corolla GLI,1190000,1,1,2010
16,0,1,124000,Other,850000,1,1,2010
1,0,2,76000,Cultus VXR,370000,1,1,2002
10,1,1,47000,Dayz Highway Star,1175000,1,1,2013
2,1,1,43000,Corolla XLI,1675000,1,1,2015
1,0,2,3875,Mehran VX,195000,1,1,1999
1,0,2,98000,Mehran VX,165000,1,1,1991
1,0,1,1000,Alto,420000,1,1,2006
2,0,1,39000,Vitz,1430000,1,1,2014
1,0,2,127000,Mehran VXR,150000,1,1,1991
1,0,2,99999,Mehran VX,185000,1,1,1997
2,0,1,89000,Passo,1040000,1,1,2010
1,0,1,100000,Cultus VXR,360000,1,1,2001
2,1,1,69000,Vitz,1150000,1,1,2003
1,1,2,65000,Mehran VX,265000,1,1,2005
1,1,2,73000,Mehran VXR,435000,1,1,2009
2,0,1,163000,Corolla GLI,1220000,1,1,2009
1,0,2,10000,Bolan,250000,1,1,1987
2,0,2,65000,Corolla XLI,1260000,1,1,2013
