Brand,Condition,Fuel,KMs Driven,Model,Price,Registered City,Transaction Type,Year
2,0,3,34567,Prado,2100000,1,1,1997
1,0,1,45321,Bolan,3850000,1,1,2006
1,0,2,12345,Bolan,340000,1,1,1998
1,0,1,94000,Alto,535000,1,1,2010
2,0,1,45321,Corolla0XLI,1430000,1,1,2013
2,0,1,80000,Corrolla0Altis,18500000,1,1,2012
1,1,2,65000,Cultus0VXL,4500000,1,1,2006
2,1,1,10241,Corrolla0Altis,28500000,1,1,2017
1,0,2,83000,Alto,4850000,1,1,2009
3,0,1,75673,Civic0VTi,4850000,1,1,1997
1,0,2,52345,Khyber,230000,1,1,1994
1,0,2,73000,Liana,535000,1,1,2006
2,0,1,78000,Passo,7700000,1,1,2006
3,0,1,54843,Civic0Prosmetic,4850000,1,1,1997
3,0,2,170000,Civic0EXi,1850000,1,1,1984
1,0,1,200000,Alto,425000,1,1,2005
4,0,1,45321,Charade,1850000,1,1,1988
6,0,1,82000,Pajero0Mini,520000,1,1,1995
1,0,2,10000,Margalla,400000,1,1,1990
3,0,1,69500,City0IVTEC,1400000,1,1,2014
1,0,2,10000,Khyber,1750000,1,1,1989
5,0,2,123456,Classic,120000,1,1,2001
3,0,2,87611,Civic0EXi,5850000,1,1,2000
3,0,4,19000,Other,425000,1,1,1995
3,0,2,99000,Civic0EXi,6850000,1,1,2005
1,0,2,88000,Alto,465000,1,1,2007
2,0,1,75000,Corolla0GLI,11850000,1,1,2010
16,0,1,124000,Other,85000000,1,1,2010
1,0,2,76000,Cultus0VXR,3700000,1,1,2002
10,1,1,47000,Dayz0Highway0Star,11750000,1,1,2013
2,1,1,43000,Corolla0XLI,16750000,1,1,2015
1,0,2,3875,Mehran0VX,1850000,1,1,1999
1,0,2,98000,Mehran0VX,165000,1,1,1991
1,0,1,45321,Alto,420000,1,1,2006
2,0,1,39000,Vitz,1430000,1,1,2014
1,0,2,127000,Mehran0VXR,1500000,1,1,1991
1,0,2,34536,Cultus0VXR,415000,1,1,2004
1,0,2,99999,Mehran0VX,1850000,1,1,1997
2,0,1,89000,Passo,1040000,1,1,2010
1,0,2,734567,Cultus0VX,400000,1,1,2002
1,0,1,45321,Cultus0VXR,3850000,1,1,2001
2,1,1,69000,Vitz,11500000,1,1,2003
1,1,2,65000,Mehran0VX,265000,1,1,2005
1,1,2,73000,Mehran0VXR,435000,1,1,2009
2,0,1,163000,Corolla0GLI,1220000,1,1,2009
1,0,2,45648,Cultus0VXR,7850000,1,1,2011
1,0,2,10000,Bolan,2500000,1,1,1987
2,0,1,23467,Corrolla0Altis,8750000,1,1,2004
2,0,2,65000,Corolla0XLI,12850000,1,1,2013
1,0,1,65000,Cultus0VXR,840000,1,1,2013
1,0,2,17400,Alto,3500000,1,1,2004
1,0,1,5458,Baleno,3850000,1,1,2001
1,0,1,90000,Alto,340000,1,1,2007
4,0,1,88000,Mira,10500000,1,1,2013
2,0,2,200000,Vitz,730000,1,1,2006
1,0,2,28800,Mehran0VXR,1850000,1,1,1995
3,1,1,95000,Civic0VTi0Oriel0Prosmatec,10700000,1,1,2007
4,0,2,71000,Cuore,410000,1,1,2001
4,0,2,6767,Charade,15500000,1,1,1984
1,0,2,45649,Margalla,320000,1,1,1994
2,0,3,134000,Corolla02.00D,10850000,1,1,2010
1,0,2,43522,Bolan,2850000,1,1,1993
2,0,1,123456,Corolla0XE,5700000,1,1,1998
2,0,1,92000,Surf,41500000,1,1,2007
